designation                 , ra                   , dec                 , phot_g_mean_mag, bp_rp       , parallax           , l                     , b
Gaia DR3 1625209684868707328, 245.9977069286059    , 61.514463511632556  ,       2.494415 , 1.0970564   , 35.71632757836309  ,  92.58484789259533    , 40.95104895524677
Gaia DR3 2816504901198512768, 346.19050678740496   , 15.205082982106333  ,       2.5036576, 0.47082543  ,                    ,  88.27996121879853    , -40.3813641
Gaia DR3 6126469654585981952, 182.08939329942342   , -50.72248107        ,       2.508257 , 0.25244522  , 5.7179329578318505 , 295.99623680978647    , 11.568211936036825
Gaia DR3 5917537534527580160, 254.65491303478962   , -55.9902994         ,       2.5107856, 1.6126139   , 5.772484443283007  , 332.8009433908013     , -8.204912617
Gaia DR3 5361403934691772160, 161.6928645043898    , -49.42047691        ,       2.5133939, 1.1023693   , 29.050584144755422 , 283.02718966558683    , 8.572317869
Gaia DR3 4076915349846977664, 276.99244340050245   , -25.42252303        ,       2.5435061, 1.2009923   , 42.91983428306095  ,   7.6594547047253245  , -6.521956981
Gaia DR3 5306951892646516992, 142.80522590576416   , -57.03435042        ,       2.5465453, 1.647223    , 14.623396609093676 , 278.2085283687177     , -4.107881828
Gaia DR3 1297565458994346240, 247.55452931903397   , 21.48954466071868   ,       2.547638 , 1.1411304   , 22.002254438170677 ,  39.00745509369674    , 40.21330823959925
Gaia DR3 1415230383034813824, 262.6080575941285    , 52.301443329615346  ,       2.5482864, 1.1480441   , 8.919816494942994  ,  79.57902235          , 33.31032866
Gaia DR3 2971266110612490624,  83.18258484252563   , -17.82228225        ,       2.5535128, 0.6914878   , 1.6817195427885396 , 220.94712137503487    , -25.14133479
Gaia DR3 6247207266946218112, 241.35926902767926   , -19.80555058        ,       2.5550153, 0.09424496  ,                    , 353.19276550982477    , 23.59958029086277
Gaia DR3 4337352305320149760, 249.28979755823173   , -10.56697608        ,       2.5565956, 0.44186306  , 7.408845727983025  ,   6.281364055594375   , 23.587764495688642
Gaia DR3 1244946371540479616, 208.67086285879768   , 18.39612273503526   ,       2.5583582, 0.90092707  ,                    ,   5.283426493904222   , 73.02967107167538
Gaia DR3 3990320597065899776, 168.52777245409249   , 20.523137041266512  ,       2.5716317, 0.5655391   ,                    , 224.23046817989416    , 66.82790618873024
Gaia DR3 6170243926896213120, 207.36109585015143   , -34.4510405         ,       2.5794034, 2.4403427   ,                    , 316.32075453451955    , 26.908096208508166
Gaia DR3 5099455184968674560,  49.87942190770887   , -21.75771998        ,       2.5895581, 2.011383    , 10.615268776173938 , 212.08875450323885    , -55.99535059
Gaia DR3 5502164890740285696, 102.48426657164553   , -50.61484788        ,       2.6184993, 1.3124249   , 18.757713279082175 , 260.16356724746026    , -20.86254085
Gaia DR3 3736865265441207424, 195.54291476874843   , 10.95923674149768   ,       2.619051 , 1.1567237   , 30.210957333166505 , 312.3207645456286     , 73.63500917732931
Gaia DR3 2968097043228517120,  82.06131804802973   , -20.75981566        ,       2.627176 , 1.0872264   , 20.869734045876413 , 223.56160477956453    , -27.2014802
Gaia DR3 3490234568129160704, 182.53082136956726   , -22.61972201        ,       2.6297014, 1.384757    , 10.598376382247242 , 290.58975813575387    , 39.25985541351886
Gaia DR3 6319542659461082752, 229.25128229268978   , -9.383003329        ,       2.6346583, 0.3496654   ,                    , 352.0216177127778     , 39.234484383522265
Gaia DR3 5512070906394195968, 112.30725962073404   , -43.30059261        ,       2.6405158, 1.6322141   , 17.023374330493326 , 255.73502916084192    , -11.91181494
Gaia DR3 3384529341302871296, 100.98300597068413   , 25.131074836391473  ,       2.6483977, 1.4132671   , 3.747653899374491  , 189.53606511995986    , 9.629022445650634
Gaia DR3 447071293401293056 ,  46.19914439438418   , 53.50642323794812   ,       2.651    , 1.0181456   , 14.125159961030231 , 142.06748757933045    , -4.336825737
Gaia DR3 2026116260337482112, 292.6803397469523    , 27.959624176962155  ,       2.651682 , 1.3495245   , 8.981563552668588  ,  62.10958590267212    , 4.571479483290405
Gaia DR3 2900546759663847168,  84.91226376039107   , -34.07421247        ,       2.6532035, 0.29323173  , 11.400786448797566 , 238.80900024049117    , -28.85731598
Gaia DR3 2962546605447869184,  76.36538394458108   , -22.3713676         ,       2.6534927, 1.5497768   , 15.599908298075055 , 223.2470411700469     , -32.73117081
Gaia DR3 779106556394253824 , 167.41547770774767   , 44.4983643          ,       2.68003  , 1.3199959   , 23.227226550456237 , 165.80428611336472    , 63.230273723256886
Gaia DR3 510204838759030144 ,  21.45661245731054   , 60.235067611380984  ,       2.6805298, 0.5723715   , 32.02972419177956  , 127.19141433126443    , -2.351970816
Gaia DR3 4683897617110115200,   6.482504988433097  , -77.25279547        ,       2.6807318, 0.92413735  , 133.71940556671353 , 304.75950466520743    , -39.78480091
Gaia DR3 5908509891197204480, 224.63280437033956   , -43.13413617        ,       2.6952581, 0.15284085  ,                    , 326.2519975           , 13.909077881178703
Gaia DR3 5855593454594292736, 189.29540488035568   , -69.13562369        ,       2.6997497, 0.14557481  ,                    , 301.6555568373816     , -6.299211694
Gaia DR3 1339952869195300608, 258.7616572468772    , 36.809174548038804  ,       2.7025177, 1.4799106   , 8.899064345249363  ,  60.66071586556423    , 34.34239203522656
Gaia DR3 5859405805013401984, 184.39008382548533   , -67.9608533         ,       2.7034264, 2.3211966   , 9.991496143923554  , 299.7502010155049     , -5.298631142
Gaia DR3 2671038928727970944, 322.8898027828743    , -5.571211108        ,       2.7120852, 1.0929565   , 5.972785301344111  ,  48.022857295215445   , -37.87916663
Gaia DR3 1312665361415345920, 250.31919789825196   , 31.604583878359982  ,       2.7169063, 0.8981335   ,                    ,  52.66262158609847    , 40.291525017475635
Gaia DR3 6309703507861332736, 222.7191482591402    , -16.04208101        ,       2.7223556, 0.44690943  ,                    , 340.3250566686587     , 38.00829894126136
Gaia DR3 1381119031215320576, 247.16079375745315   , 41.881650687920455  ,       2.7236698, 3.1317515   , 8.486623721850398  ,  66.15800223275293    , 43.71447970993045
Gaia DR3 4049975081571729920, 271.45176593069976   , -30.42493816        ,       2.7243106, 1.2346699   , 32.26965661295192  ,   0.917726749         , -4.538257113
Gaia DR3 1887953690728237568, 340.7506395031158    , 30.221130397877182  ,       2.7250793, 1.109237    , 16.630835440035625 ,  92.49576754085456    , -24.95359626
Gaia DR3 2680356911816018048, 331.44606406642515   , -0.3198974          ,       2.727835 , 1.1494417   , 4.945145326        ,  59.92876104          , -42.06610363
Gaia DR3 5239828735016184448, 160.7389810431919    , -64.39440583        ,       2.7347076, 0.055695772 , 7.637104512        , 289.59769643564414    , -4.901718124
Gaia DR3 3557567320183657472, 162.40663105834716   , -16.19275976        ,       2.7356641, 1.3883028   , 23.794020354103314 , 265.05204781265144    , 37.56166906340152
Gaia DR3 3017190546641718144,  83.85826322361507   , -5.909896048        ,       2.7408419, 0.11113644  , 1.9968658285610956 , 209.52210609496424    , -19.58346007
Gaia DR3 5698015743046182272, 121.8856299797689    , -24.30411555        ,       2.7505891, 0.78982997  , 51.39988628348321  , 243.14794961023134    , 4.401689647683576
Gaia DR3 4935615308047192576,  22.091261274313453  , -43.31915414        ,       2.7603414, 1.6890006   , 13.361166787925637 , 280.5286733423656     , -72.16661511
Gaia DR3 5610441600394646016, 105.42975475577698   , -27.93480861        ,       2.7605493, 1.7686272   , 2.508532778196012  , 239.16882019102553    , -10.27380289
Gaia DR3 1312665361414730624, 250.31915796740566   , 31.604519240231134  ,       2.7632272, 0.9015522   ,                    ,  52.662530195785635   , 40.291546818627936
Gaia DR3 4136366183978856960, 257.5946814508237    , -15.72447861        ,       2.7693226, 0.44946527  ,                    ,   6.721885203588926   , 14.007954164813908
Gaia DR3 6071060144089351808, 183.7860104400386    , -58.74897428        ,       2.7730124, -0.007714033, 7.168087771989562  , 298.22879901776184    , 3.7909592010720985
Gaia DR3 6194563955869054848, 199.7307355656656    , -23.17171089        ,       2.776534 , 1.1548169   , 25.52860508281361  , 311.09890448879906    , 39.263788021941714
Gaia DR3 3211922645854328832,  76.96200055         , -5.086810304        ,       2.7777147, 0.43548036  , 36.24560427650994  , 205.33789803649717    , -25.31610843
Gaia DR3 6165699748417797504, 200.1473375344814    , -36.71267           ,       2.7811801, 0.4684584   ,                    , 309.4169277288391     , 25.791732876259942
Gaia DR3 641662895638787584 , 146.46258258682883   , 23.77420578         ,       2.7839565, 1.0609426   , 14.33944287393727  , 206.81688901918804    , 48.20421690581766
Gaia DR3 5826168461855385472, 238.7838064740902    , -63.43251145        ,       2.784391 , 0.62880015  , 80.48541193436336  , 321.8433512588567     , -7.52448474
Gaia DR3 6044420729667868928, 248.97058883392532   , -28.21611804        ,       2.8028276, -0.01395607 ,                    , 351.5346553005708     , 12.808102680933866
Gaia DR3 4082115215112774272, 287.4409679          , -21.02377873        ,       2.803014 , 0.6970482   , 6.241001258151316  ,  15.885572136561946   , -13.29376163
Gaia DR3 2887731882922767744,  87.74026611929386   , -35.7665114         ,       2.8041787, 1.2997231   , 36.90381517096654  , 241.33990667471818    , -27.05656122
Gaia DR3 4713424658275847168,  29.694939353364006  , -61.56973867        ,       2.8074205, 0.6097002   ,                    , 289.443882            , -53.75963362
Gaia DR3 2255173119658513408, 288.13986191145926   , 67.66194921202765   ,       2.8079169, 1.2463834   , 33.34994526763806  ,  98.65650305553461    , 22.99406864969404
Gaia DR3 168726523212358272 ,  58.53304404662457   , 31.88359461391294   ,       2.8219895, 0.35094476  , 3.855550617532855  , 162.28918183414248    , -16.69039672
Gaia DR3 6838311796136238976, 326.76139246141946   , -16.12860719        ,       2.836813 , 0.6872513   , 85.94055985093036  ,  37.59949154345874    , -46.01487907
Gaia DR3 1824534959611831680, 296.84697410021977   , 18.53431498544213   ,       2.8368227, 1.9357872   , 5.967380825829624  ,  55.76691616838225    , -3.383385099
Gaia DR3 6875990375999580544, 305.2529803545091    , -14.781406          ,       2.8368742, 1.0786076   , 8.396575006308046  ,  29.14976303133421    , -26.37026054
Gaia DR3 205499655242974464 ,  75.49223197537926   , 43.823296688371194  ,       2.847648 , 0.96053123  , 0.9878818319946335 , 162.78828465348968    , 1.1785451426453506
Gaia DR3 6674382927491854848, 309.3921343889334    , -47.291208          ,       2.8521497, 1.2221763   , 32.898854474949125 , 352.5672154507451     , -37.20860912
Gaia DR3 2769202742740232960,   3.3089703843753013 , 15.183550741446307  ,       2.8534293, 0.09509516  , 6.947422027434692  , 109.43379580633083    , -46.68453263
Gaia DR3 3143264535611892096, 111.78744022702931   , 8.289146534444166   ,       2.856039 , 0.097438335 ,                    , 209.51997682622988    , 11.678226807090995
Gaia DR3 1823067317695766784, 299.6895907690142    , 19.49224711         ,       2.8593628, 1.6970007   , 11.337545204585858 ,  57.96703909604529    , -5.207421445
Gaia DR3 2610370969483589888, 343.1537089468947    , -7.579451402        ,       2.8595295, 1.9338799   , 8.936000082367386  ,  62.19204323112082    , -55.73251295
Gaia DR3 4039970797062166400, 267.4647360322948    , -37.04322316        ,       2.860071 , 1.3463864   , 24.73401438925934  , 353.5028544993728     , -4.939959079
Gaia DR3 5958043164999014400, 266.8961644868148    , -40.12702135        ,       2.8666828, 0.9037235   , 1.4177487203133474 , 350.60840886612675    , -6.126381002
Gaia DR3 2199493438511811712, 332.7137697826255    , 58.20128527773775   ,       2.8701382, 1.5724754   , 3.2971978923053005 , 103.06251517143087    , 1.6652821854996802
Gaia DR3 583588100209595776 , 133.84799100696154   , 5.9456285938922715  ,       2.8702028, 1.1994629   , 21.313272879490093 , 222.3425034890619     , 30.198196228833837
Gaia DR3 5253347574087339776, 154.27049434677835   , -61.33227881        ,       2.8710227, 1.5570004   , 4.304645225574549  , 285.4813853665895     , -3.805159584
Gaia DR3 2858629802998456576,   9.832595312681915  , 30.86050281776377   ,       2.8720777, 1.4206281   , 31.573488734557774 , 119.87001368373453    , -31.93925524
Gaia DR3 6235406071207202688, 239.71290472790042   , -26.11422687        ,       2.8735147, -0.06000185 , 9.673294610301134  , 347.21463601210166    , 20.23042009442436
Gaia DR3 5538814190283894656, 116.31367447237092   , -37.96856044        ,       2.875049 , 1.8465354   , 2.9459649267338475 , 252.39430029329978    , -6.735714636
Gaia DR3 5949437149987478016, 262.9601503332293    , -49.8764425         ,       2.8780158, 0.234658    ,                    , 340.7548552           , -8.827215536
Gaia DR3 4444057469252265984, 254.41575470820635   , 9.374984808370574   ,       2.8820894, 1.3088837   , 37.112505074250734 ,  28.364295449316277   , 29.50588456040388
Gaia DR3 5823248090239625088, 229.72661750917953   , -68.67968528        ,       2.882312 , 0.3196814   , 17.18088396465165  , 315.7114581427565     , -9.549601491
Gaia DR3 66714384142368256  ,  56.87125084725649   , 24.10493447522506   ,       2.896132 , 0.14834332  ,                    , 166.66847121542165    , -23.45530561
Gaia DR3 229898024422755840 ,  59.463595170524904  , 40.0100951          ,       2.904279 , 0.008548498 , 5.331620151096612  , 157.3539478259069     , -10.0884842
Gaia DR3 1517698716348324992, 194.0056156711975    , 38.31862104268021   ,       2.9043932, 0.2194066   , 32.722737796620656 , 118.31044312141636    , 78.7684592
Gaia DR3 3402918982515591168,  84.41119325636477   , 21.14245103416954   ,       2.9119813, 0.037825584 ,                    , 185.68645655283572    , -5.636090955
Gaia DR3 2079784488001577600, 296.2439176177008    , 45.13102484391075   ,       2.9163165, 0.2526536   , 21.14741161121059  ,  78.70983014058407    , 10.242964230056616
Gaia DR3 6048602103663486592, 245.29708594323918   , -25.59288089        ,       2.920874 , 0.42462492  ,                    , 351.3128905888665     , 16.998908383190656
Gaia DR3 2093931938472201600, 283.62614120001314   , 36.89862858866195   ,       2.922179 , 2.384991    , 4.235186837675473  ,  66.92568682179372    , 15.322395226621321
Gaia DR3 892348694913501952 , 113.64979381874497   , 31.88850351976742   ,       2.9247973, 0.4128492   ,                    , 187.44086063055073    , 22.479595796716957
Gaia DR3 5249119024128109952, 146.77535748906328   , -65.07197323        ,       2.9269278, 0.6949799   , 3.7373040047368864 , 285.03837068010773    , -8.81968614
Gaia DR3 2281778105594488192, 354.83578083298244   , 77.63312481414683   ,       2.9429574, 1.2568743   , 72.51669209892496  , 118.99219943318701    , 15.316296843110656
Gaia DR3 6270558110774003968, 211.5931241          , -26.68298803        ,       2.948431 , 1.3334074   , 30.88891167        , 323.00084680404416    , 33.251744971640385
Gaia DR3 3520586071217872896, 187.46509027380262   , -16.51605134        ,       2.9649055, 0.19952226  , 38.05998179765627  , 295.47095448647735    , 46.04287811928602
Gaia DR3 6007749027577770496, 230.4510369940133    , -36.26175434        ,       2.965608 , 1.662416    , 11.661557593684153 , 333.95931012200685    , 17.392919887951262
Gaia DR3 6762701233364896000, 286.734747           , -27.67154143        ,       2.9668314, 1.349406    , 28.319548249048147 ,   9.332757993726407   , -15.36872001
Gaia DR3 1614731957531452544, 231.23232031030997   , 58.966142735645974  ,       2.9729202, 1.3520339   , 32.52388531619131  ,  93.97119295175305    , 48.62776623084373
Gaia DR3 4356298849169862784, 244.58075014832895   , -4.692331985        ,       2.977211 , 1.2300808   , 30.513634597436656 ,   8.566308398472884   , 30.809610209449705
Gaia DR3 6520955322608285824, 337.43921411918564   , -43.74920644        ,       2.9805827, 2.2058942   , 9.155560774760122  , 353.27905104347724    , -57.05902565
Gaia DR3 1851924859353116928, 318.2340887866534    , 30.226696772221253  ,       2.9821486, 1.1928167   , 21.81303235858556  ,  76.75362881061152    , -12.45240355
Gaia DR3 248577867988535296 ,  55.731412103792316  , 47.78739289427855   ,       2.9823132, 0.034811497 , 6.243474592998773  , 150.28358231154147    , -5.768502897
Gaia DR3 4269932382607207040, 275.32505935876196   , -2.901942881        ,       2.9904501, 1.2370036   , 52.44130794438597  ,  26.89146738831297    , 5.362815107405853
Gaia DR3 3098404220680931968, 124.1286317978316    , 9.185323935788704   ,       3.0001826, 1.5984769   , 10.102592897316667 , 214.2532906519098     , 23.047302966859576
Gaia DR3 4314399312979641728, 286.3525049765623    , 13.863053278714878  ,       3.001118 , 0.30376935  , 38.23294898965933  ,  46.85395091477722    , 3.245237538601118
Gaia DR3 2896572746685604480,  95.07833734068376   , -30.06334878        ,       3.0076509, 0.06975937  , 9.492206211        , 237.52198022791038    , -19.4335534
Gaia DR3 329384516560293248 ,  32.38675355041934   , 34.98711988193324   ,       3.0077727, 0.43327308  ,                    , 140.5487353           , -25.19838656
Gaia DR3 6586825380598949632, 328.4827688631597    , -37.36494849        ,       3.0138354, 0.13039613  , 17.808001236182314 ,   6.106555982922529   , -51.47305565
Gaia DR3 757565233820538752 , 169.61959969105789   , 33.09443003         ,       3.0204449, 1.5898306   , 7.982310491470233  , 190.72678816601848    , 69.08090938726417
Gaia DR3 1696877570753454208, 230.1818712785812    , 71.83410165777194   ,       3.0218675, 0.4629395   , 6.595867221744522  , 108.4635696196093     , 40.83718116461523
Gaia DR3 1487434040320076800, 218.01881769228896   , 38.30892269460632   ,       3.022188 , 0.4798348   , 37.91254655500852  ,  67.26523282408274    , 66.17264717515125
Gaia DR3 5614471482318442240, 117.32353878305732   , -24.85979534        ,       3.0238004, 1.3292952   , 3.0058993777046874 , 241.45502558688395    , 0.5730505191193133
Gaia DR3 2921635736292220800, 105.75612410219094   , -23.83327707        ,       3.0407002, 0.100087404 , 0.8714895713272475 , 235.55460608007752    , -8.227997949
Gaia DR3 5786929090848333568, 211.33111350491527   , -76.796907          ,       3.0503223, 3.525211    , 8.380805497629552  , 307.2194696           , -14.54420645
Gaia DR3 2162316545207257600, 316.2328118253326    , 43.92785718         ,       3.0638983, 1.7368188   , 2.836313901245389  ,  85.92946325994743    , -2.07796189
Gaia DR3 5971289565647972608, 252.96755916146594   , -38.04748086        ,       3.069865 , -0.013882637, 1.873246274472837  , 346.1150825           , 3.9139416394669406
Gaia DR3 1018776176872261248, 143.20753978122536   , 51.67490604097004   ,       3.0717425, 0.8285754   , 73.82839808283359  , 165.4671190307277     , 45.64638465288806
Gaia DR3 4164319171172759040, 269.75659946779956   , -9.774150851        ,       3.0769866, 1.2523377   , 22.903060175843585 ,  18.167488425556193   , 6.974169250319237
Gaia DR3 3288921720025503360,  72.46212402119102   , 6.9613310085374644  ,       3.0879216, 0.8058183   , 124.61980141424488 , 191.4532108364966     , -23.06305192
Gaia DR3 196944217825405184 ,  89.98371736337808   , 45.936700316237285  ,       3.0882971, 2.294921    , 4.515407302318046  , 166.60229153325062    , 10.937197781472051
Gaia DR3 1061909811871141504, 172.85040436553678   , 69.33099194674183   ,       3.1029344, 1.8182423   , 8.645797394390561  , 132.98191606801993    , 46.2041688
Gaia DR3 6058271964884299520, 185.33849318733613   , -60.40074016        ,       3.1038253, 1.5515676   , 14.199861521996095 , 299.2222735017716     , 2.2541430388160957
Gaia DR3 5926920079553285760, 252.44682140759986   , -59.04149532        ,       3.1050086, 1.7179904   , 10.699331962178958 , 329.63518547290937    , -9.164071353
Gaia DR3 5908713025970995584, 224.79023735305813   , -42.10429832        ,       3.1182818, -0.095516205,                    , 326.87184890749114    , 14.753660318810752
Gaia DR3 1014058103758571520, 134.7989643318015    , 48.040871471105525  ,       3.120973 , 0.50758815  , 68.00099930164292  , 171.51380537466125    , 40.83424186101712
Gaia DR3 4676528209144882304,  63.60655843373849   , -62.47361261        ,       3.1259058, 1.1488793   , 20.34313182746785  , 274.31379701515215    , -41.65337289
Gaia DR3 5333974693006467328, 173.94499364430385   , -63.01986715        ,       3.1292858, 0.27234888  , 8.276956632943902  , 294.47257434046946    , -1.397432815
Gaia DR3 4573412435280434560, 258.7578570009893    , 24.83850638924531   ,       3.130809 , 0.34447908  , 42.48084539964649  ,  46.82326509640693    , 31.423158195659475
Gaia DR3 2470140321630664064,  17.148438895614227  , -10.18288233        ,       3.1326482, 1.3475201   , 27.060320608827386 , 137.16456201606255    , -72.57887464
Gaia DR3 3400796031719045632,  83.05313628063799   , 18.59421655157538   ,       3.1337926, 2.329281    , 1.5207023448393597 , 187.1764039780343     , -8.072569784
Gaia DR3 6444391655040244992, 300.4366214992657    , -59.37600437        ,       3.137527 , 3.1189632   , 5.910175014550325  , 337.8475019345125     , -31.95801085
Gaia DR3 6210176643031265920, 234.25595511298545   , -28.13505841        ,       3.1413295, 1.5495112   , 15.526662420405081 , 341.88491031184105    , 21.945134082993718
