designation,ra,dec,parallax,phot_g_mean_mag,bp_rp
Gaia DR3 1576683529448755328,193.50817846782095,55.959784778923755,,1.731607,0.33836722
Gaia DR3 6560604777055249536,332.05907779469464,-46.96161734131188,,1.7732803,0.25205588
Gaia DR3 1510374147844219904,206.8843267438112,49.313201807217496,,1.881019,0.16552424
Gaia DR3 3377166289889430656,95.74037353106223,22.51309871600816,,1.8813683,1.8783841
Gaia DR3 418551920284673408,10.12724197930297,56.53718879378639,14.090976249252234,1.9425238,1.1434835
Gaia DR3 4677205714465503104,69.1893185844083,-62.07749050901024,,1.9587749,3.7703938
Gaia DR3 6026152137856166912,252.53759018899078,-34.294371751412214,,1.9910356,1.187696
Gaia DR3 4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,2.0164251,1.5633104
Gaia DR3 426558460884582016,14.177450998208093,60.71672280471204,,2.0645833,0.41073465
Gaia DR3 3011968416163350272,86.93912852502406,-9.669607137549677,,2.0778263,0.19949937
Gaia DR3 5589311357728452608,109.28559423278779,-37.097444485279574,5.762063161817684,2.0832374,1.5425804
Gaia DR3 4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,2.0899775,1.2694821
Gaia DR3 4493746564376875520,263.7341968642716,12.559009843277153,,2.1082857,0.6185856
Gaia DR3 142853330981747328,46.29487462677558,38.83980896875264,,2.111629,2.1664658
Gaia DR3 2067518817314952576,305.55710787667306,40.2566736114266,,2.1137252,0.9935477
Gaia DR3 4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,2.1164951,1.8272674
Gaia DR3 1279798794197267072,221.24648617076684,27.074315757773466,13.82667260913517,2.1833525,1.1840065
Gaia DR3 160886283751041408,74.24843702624405,33.16601472318802,7.249065034494049,2.1975422,1.4451852
Gaia DR3 1869302503206674304,311.5547590119282,33.9717003123585,,2.2109652,1.1279578
Gaia DR3 5300300156538723328,139.2723686431627,-59.27517582046192,,2.213786,0.55295897
Gaia DR3 4302054339959905920,296.56498571046956,10.613252703828636,5.589928355256642,2.223692,1.4782449
Gaia DR3 6127791439360208640,190.3779930225551,-48.95978360109781,,2.2270558,0.5140896
Gaia DR3 423018377034969216,2.2990654282325518,59.14897576410493,,2.232691,0.7120874
Gaia DR3 3220756843825383936,83.00165624929525,-0.2990788925812489,,2.2487726,0.17005849
Gaia DR3 5534788672055388032,120.89585713760054,-40.00307350941095,,2.2542944,0.22848153
Gaia DR3 3377072212924335488,93.71906923878569,22.50675368193066,,2.2620378,1.8538378
Gaia DR3 1222646935698492160,233.67254376294218,26.714295174747274,42.24080076261629,2.2693703,0.529583
Gaia DR3 5111187420714898304,59.507642022011794,-13.509012610930261,17.00162879163835,2.2707934,1.689486
Gaia DR3 1563590579347125632,200.98237336533253,54.92525907860076,40.213284471127004,2.282647,0.5343387
Gaia DR3 4049506483413484672,275.24868220695066,-29.82822386700995,7.846769491115783,2.296982,1.4261992
Gaia DR3 6227443304915069056,226.0172005141403,-25.2821590562471,12.538654525627177,2.3034124,1.9100549
Gaia DR3 804753180515722624,155.58176101601168,41.49966386040507,17.798718499448466,2.32451,1.645093
Gaia DR3 5905821894507108864,220.4821588727846,-47.388273117597144,,2.3246517,0.23071337
Gaia DR3 4429785739602747392,236.0675744297602,6.4258326669088035,43.94497411580315,2.3253543,1.3348399
Gaia DR3 2106630885454013184,283.83388403904866,43.946451132674866,10.440410406499382,2.3616831,2.4237096
Gaia DR3 5922444483103229952,261.3248860596135,-55.529996917051356,4.560053792219337,2.3912818,1.4427056
Gaia DR3 6407842789021567872,334.62477862508103,-60.25977542657531,17.732356212677455,2.396663,1.438695
Gaia DR3 856096765753549056,165.46097417209683,56.38257749355825,38.60307997876443,2.3985364,0.49357748
Gaia DR3 3704342295607157120,193.89877797423057,3.3972301950318524,17.4064804454874,2.4037774,1.8989389
Gaia DR3 5961206940987571200,265.62193838278046,-39.03009162628322,,2.4227042,0.19835877
Gaia DR3 2193192137376175488,319.64633694354825,62.58579604829105,,2.428267,0.6600125
Gaia DR3 792588939773693568,178.45836676657404,53.694797326318046,,2.4362755,0.5198331
Gaia DR3 4473334474604992384,265.86794661822,4.568012245771951,39.22844495769126,2.4423249,1.2892413
Gaia DR3 3501215734352781440,188.59681758232725,-23.397012233844624,22.00492733579523,2.448283,1.0926499
Gaia DR3 5605797194566011520,111.0237381697198,-29.303082980151718,,2.4504085,0.3395319
Gaia DR3 2202630001603369856,325.87694430713873,58.78002783444686,0.11902358415373226,2.450726,2.2709079
Gaia DR3 4629125170492116224,56.810583950214635,-74.23845269276111,15.07934675483247,2.4740036,1.8262122
Gaia DR3 5310393535853560576,140.52832321650078,-55.01061135363584,,2.487886,0.24669337
Gaia DR3 702343774145932544,140.2625728404832,34.39263287351821,14.704195701416294,2.488654,1.6008933
Gaia DR3 1625209684868707328,245.9977069286059,61.514463511632556,35.71632757836309,2.494415,1.0970564
Gaia DR3 2816504901198512768,346.19050678740496,15.205082982106333,,2.5036576,0.47082543
Gaia DR3 6126469654585981952,182.08939329942342,-50.72248107334658,5.7179329578318505,2.508257,0.25244522
Gaia DR3 5917537534527580160,254.65491303478962,-55.99029939641002,5.772484443283007,2.5107856,1.6126139
Gaia DR3 5361403934691772160,161.6928645043898,-49.420476913951866,29.050584144755422,2.5133939,1.1023693
Gaia DR3 4076915349846977664,276.99244340050245,-25.422523033637848,42.91983428306095,2.5435061,1.2009923
Gaia DR3 5306951892646516992,142.80522590576416,-57.03435042166543,14.623396609093676,2.5465453,1.647223
Gaia DR3 1297565458994346240,247.55452931903397,21.48954466071868,22.002254438170677,2.547638,1.1411304
Gaia DR3 1415230383034813824,262.6080575941285,52.301443329615346,8.919816494942994,2.5482864,1.1480441
Gaia DR3 2971266110612490624,83.18258484252563,-17.822282254766677,1.6817195427885396,2.5535128,0.6914878
Gaia DR3 6247207266946218112,241.35926902767926,-19.80555058042707,,2.5550153,0.09424496
Gaia DR3 4337352305320149760,249.28979755823173,-10.566976077121021,7.408845727983025,2.5565956,0.44186306
Gaia DR3 1244946371540479616,208.67086285879768,18.39612273503526,,2.5583582,0.90092707
Gaia DR3 3990320597065899776,168.52777245409249,20.523137041266512,,2.5716317,0.5655391
Gaia DR3 6170243926896213120,207.36109585015143,-34.451040500017236,,2.5794034,2.4403427
Gaia DR3 5099455184968674560,49.87942190770887,-21.75771998267506,10.615268776173938,2.5895581,2.011383
Gaia DR3 5502164890740285696,102.48426657164553,-50.61484787877496,18.757713279082175,2.6184993,1.3124249
Gaia DR3 3736865265441207424,195.54291476874843,10.95923674149768,30.210957333166505,2.619051,1.1567237
